timestamp,z_window,person,device
0 days 00:00:06.149000,0.26059998730000017,8,phone
0 days 00:00:06.205000,0.27879998630000014,8,phone
0 days 00:00:06.209000,0.3004999863000001,8,phone
0 days 00:00:06.213000,0.3083999862600001,8,phone
0 days 00:00:06.264000,0.30709998632000013,8,phone
0 days 00:00:06.266000,0.32069998632000013,8,phone
0 days 00:00:06.270000,0.35519998632000016,8,phone
0 days 00:00:06.326000,0.3861999865200002,8,phone
0 days 00:00:06.327000,0.42359998652000014,8,phone
0 days 00:00:06.331000,0.4347999865200001,8,phone
0 days 00:00:06.383000,0.4237999865200001,8,phone
0 days 00:00:06.384000,0.3781999864900001,8,phone
0 days 00:00:06.414000,0.30489998949000013,8,phone
0 days 00:00:06.416000,0.2036999884900001,8,phone
0 days 00:00:06.445000,0.07999999849000013,8,phone
0 days 00:00:06.448000,-0.041400001509999874,8,phone
0 days 00:00:06.504000,-0.14600000150999984,8,phone
0 days 00:00:06.508000,-0.20729999751,8,phone
0 days 00:00:06.509000,-0.21609999750999997,8,phone
0 days 00:00:06.532000,-0.15460000051,8,phone
0 days 00:00:06.562000,-0.04430000050999995,8,phone
0 days 00:00:06.565000,0.02749999549000001,8,phone
0 days 00:00:06.593000,0.06909999549000002,8,phone
0 days 00:00:06.624000,0.14209999549,8,phone
0 days 00:00:06.626000,0.21039999549000005,8,phone
0 days 00:00:06.685000,0.21529999549,8,phone
0 days 00:00:06.691000,0.25249999538999995,8,phone
0 days 00:00:06.691000,0.23179999734999993,8,phone
0 days 00:00:06.746000,0.21729999734999997,8,phone
0 days 00:00:06.753000,0.2105999976499999,8,phone
0 days 00:00:06.753000,0.19959999764999994,8,phone
0 days 00:00:06.774000,0.19429999764999997,8,phone
0 days 00:00:06.804000,0.19719999765000001,8,phone
0 days 00:00:06.806000,0.20289999795000008,8,phone
0 days 00:00:06.833000,0.22149999695000003,8,phone
0 days 00:00:06.865000,0.23549999695000007,8,phone
0 days 00:00:06.866000,0.22159999895000002,8,phone
0 days 00:00:06.892000,0.2077999989200001,8,phone
0 days 00:00:06.925000,0.20019999902000002,8,phone
0 days 00:00:06.929000,0.1939999990200001,8,phone
0 days 00:00:06.985000,0.17119999902000005,8,phone
0 days 00:00:06.986000,-0.10030000077999998,8,phone
0 days 00:00:06.989000,-0.07090000038,8,phone
0 days 00:00:07.043000,-0.016200000179999972,8,phone
0 days 00:00:07.046000,0.013899997820000008,8,phone
0 days 00:00:07.046000,0.01859999752,8,phone
0 days 00:00:07.073000,0.014499997620000003,8,phone
0 days 00:00:07.103000,0.016199997419999987,8,phone
0 days 00:00:07.107000,0.03399999732000001,8,phone
0 days 00:00:07.165000,0.02389999812,8,phone
0 days 00:00:07.165000,0.03239999802,8,phone
0 days 00:00:07.170000,0.03549999792000001,8,phone
0 days 00:00:07.193000,0.03569999772000001,8,phone
0 days 00:00:07.255000,0.022999998020000013,8,phone
0 days 00:00:07.261000,0.011999998319999997,8,phone
0 days 00:00:07.261000,0.014899998290000039,8,phone
0 days 00:00:07.288000,0.02919999829,8,phone
0 days 00:00:07.288000,0.04159999829000002,8,phone
0 days 00:00:07.346000,0.054399997690000014,8,phone
0 days 00:00:07.348000,0.04559999759000001,8,phone
0 days 00:00:07.356000,0.03329999798999999,8,phone
0 days 00:00:07.405000,0.027299998090000003,8,phone
0 days 00:00:07.406000,0.02949999809,8,phone
0 days 00:00:07.411000,0.02489999809,8,phone
0 days 00:00:07.435000,0.020399998389999997,8,phone
0 days 00:00:07.496000,0.00989999888999999,8,phone
0 days 00:00:07.502000,0.0040999988899999866,8,phone
0 days 00:00:07.503000,0.008799998890000002,8,phone
0 days 00:00:07.555000,0.02269999779,8,phone
0 days 00:00:07.558000,0.019999997929999985,8,phone
0 days 00:00:07.562000,0.006299997969999992,8,phone
0 days 00:00:07.616000,0.003399997970000009,8,phone
0 days 00:00:07.618000,-0.016500001030000003,8,phone
0 days 00:00:07.618000,-0.04470000003,8,phone
0 days 00:00:07.675000,-0.04010000028999999,8,phone
0 days 00:00:07.677000,-0.06750000028999999,8,phone
0 days 00:00:07.693000,-0.059500000289999994,8,phone
0 days 00:00:07.735000,-0.038200000090000005,8,phone
0 days 00:00:07.741000,-0.022900000090000008,8,phone
0 days 00:00:07.744000,-0.008300000130000007,8,phone
0 days 00:00:07.796000,-0.009300000130000005,8,phone
0 days 00:00:07.796000,-0.023299999630000005,8,phone
0 days 00:00:07.797000,-0.03239999963000001,8,phone
0 days 00:00:07.861000,-0.03419999863000001,8,phone
0 days 00:00:07.864000,-0.0022999986300000106,8,phone
0 days 00:00:07.867000,-0.014499998630000005,8,phone
0 days 00:00:07.918000,0.006399999369999989,8,phone
0 days 00:00:07.920000,0.02759999931,8,phone
0 days 00:00:07.921000,0.054999998309999985,8,phone
0 days 00:00:07.976000,0.06599999791,8,phone
0 days 00:00:07.979000,0.06819999810999999,8,phone
0 days 00:00:07.980000,0.05839999907,8,phone
0 days 00:00:08.002000,0.05909999887,8,phone
0 days 00:00:08.034000,0.07419999907000001,8,phone
0 days 00:00:08.037000,0.07209999897000001,8,phone
0 days 00:00:08.096000,0.06949999896999999,8,phone
0 days 00:00:08.104000,0.055799999169999996,8,phone
0 days 00:00:08.111000,0.05309999916999998,8,phone
0 days 00:00:08.154000,0.05279999876999998,8,phone
0 days 00:00:08.157000,0.05229999896999999,8,phone
0 days 00:00:08.157000,0.05439999896999998,8,phone
0 days 00:00:08.217000,0.05039999897,8,phone
0 days 00:00:08.221000,0.044099998969999984,8,phone
0 days 00:00:08.224000,0.03999999901,8,phone
0 days 00:00:08.273000,0.03899999901,8,phone
0 days 00:00:08.276000,0.03239999901000001,8,phone
0 days 00:00:08.279000,0.01749999901000001,8,phone
0 days 00:00:08.303000,0.023699998810000008,8,phone
0 days 00:00:08.333000,0.02429999881000001,8,phone
