timestamp,device,x_window,y_window,z_window,person
0 days 00:00:01.981000,Phone,0.04970000046999998,0.10279999788999998,0.02180000097999999,7
0 days 00:00:02.012000,Phone,0.04040000096999999,0.12459999789,0.0017000019799999944,7
0 days 00:00:02.012000,Phone,0.018500001069999997,0.13799999789,-0.006299998020000005,7
0 days 00:00:02.043000,Phone,-0.00429999892999998,0.14859999689,-0.009999997820000002,7
0 days 00:00:02.075000,Phone,-0.015899998930000003,0.14559999689000003,-0.0042999978199999974,7
0 days 00:00:02.077000,Phone,-0.04419999892999999,0.14319999683,0.006400001879999986,7
0 days 00:00:02.139000,Phone,-0.03859999893,0.13709999683000001,0.008700001879999994,7
0 days 00:00:02.139000,Phone,-0.030499998929999966,0.10459999683,0.022400001880000017,7
0 days 00:00:02.142000,Phone,-0.025199998959999997,0.08419999777,0.02330000184000001,7
0 days 00:00:02.167000,Phone,-0.006399998959999999,0.05729999777,0.04200000184000001,7
0 days 00:00:02.222000,Phone,0.004200000039999976,0.029899997769999992,0.06240000184000001,7
0 days 00:00:02.224000,Phone,0.0033000000099999848,0.0071999977699999905,0.06790000183999999,7
0 days 00:00:02.227000,Phone,0.010900000009999982,-0.006000001229999992,0.04930000284,7
0 days 00:00:02.233000,Phone,0.009900000009999988,-0.017900000229999994,0.03770000284000002,7
0 days 00:00:02.280000,Phone,-0.0016999999900000151,-0.029600000229999993,0.03760000278,7
0 days 00:00:02.282000,Phone,0.020100000009999987,-0.03340000022999999,0.039400002779999985,7
0 days 00:00:02.311000,Phone,0.03560000007,-0.03989999979999999,0.030000003080000014,7
0 days 00:00:02.314000,Phone,0.03290000022999999,-0.040099999769999985,0.01720000412,7
0 days 00:00:02.374000,Phone,0.01420000023000001,-0.022599999809999983,0.020300004020000012,7
0 days 00:00:02.374000,Phone,0.013400000230000009,-0.01150000020999998,0.016700004120000007,7
0 days 00:00:02.377000,Phone,-0.006299999799999969,0.020999999789999998,0.016800004020000026,7
0 days 00:00:02.433000,Phone,-0.028199999800000007,0.03759999978999999,0.011900004080000009,7
0 days 00:00:02.435000,Phone,-0.05889999879999997,0.04179999988999999,0.013300004110000025,7
0 days 00:00:02.437000,Phone,-0.032199998799999976,0.04619999988999999,0.03530000391000002,7
0 days 00:00:02.497000,Phone,-0.03039999869999997,0.044299999889999976,0.025900003910000028,7
0 days 00:00:02.497000,Phone,-0.007999998699999962,0.035900000189999996,0.02210000391000002,7
0 days 00:00:02.498000,Phone,-0.01079999869999997,-0.02339999981000002,-0.012899994089999967,7
0 days 00:00:02.553000,Phone,-0.004799999199999963,-0.003999999810000028,-0.007099994089999979,7
0 days 00:00:02.555000,Phone,-0.008199999499999985,0.011899998189999983,-0.010499994189999971,7
0 days 00:00:02.555000,Phone,-0.023799998499999964,0.040299998190000005,-0.008899994189999977,7
0 days 00:00:02.617000,Phone,-0.0005999985000000052,-0.038500002010000006,0.01610000581000003,7
0 days 00:00:02.617000,Phone,0.006100001470000022,-0.07260000210999999,0.013000005810000013,7
0 days 00:00:02.618000,Phone,-0.01429999853,-0.04720000211,0.018100005610000015,7
0 days 00:00:02.675000,Phone,0.028300001470000002,-0.08570000014999998,0.024500005610000014,7
0 days 00:00:02.675000,Phone,0.03470000147000001,-0.09800000014999996,0.04600000561000002,7
0 days 00:00:02.677000,Phone,0.031000001670000034,-0.09780000015000001,0.054000005610000006,7
0 days 00:00:02.703000,Phone,0.02930000171000002,-0.12210000015000003,0.05050000561000001,7
0 days 00:00:02.732000,Phone,0.040000001710000045,-0.14760000015,0.04200000561,7
0 days 00:00:02.732000,Phone,0.057600001710000015,-0.15920000015,0.028500005709999998,7
0 days 00:00:02.764000,Phone,0.06130000171000003,-0.15100000051,0.009600006909999988,7
0 days 00:00:02.792000,Phone,0.05460000181000001,-0.10810000050999999,0.0018000068099999988,7
0 days 00:00:02.793000,Phone,0.015600001910000048,-0.020900000510000013,-0.0038999931900000106,7
0 days 00:00:02.823000,Phone,0.006600001909999964,0.009699998489999988,-0.0013999933899999928,7
0 days 00:00:02.853000,Phone,0.0070000019099999925,0.026399998489999982,0.0010000066100000137,7
0 days 00:00:02.855000,Phone,0.01390000140999999,0.042599997489999986,0.009500006210000021,7
0 days 00:00:02.881000,Phone,0.0006000014100000184,0.03629999748999998,0.008600006210000025,7
0 days 00:00:02.943000,Phone,-0.01979999859000002,0.033399997489999986,0.019500006210000018,7
0 days 00:00:02.946000,Phone,-0.027199998090000004,0.016699997489999972,0.03480000517000001,7
0 days 00:00:02.952000,Phone,-0.06059999808999999,0.05259999748999999,0.07590000317000001,7
0 days 00:00:02.964000,Phone,-0.07599999779,0.07109999748999997,0.07200000417000002,7
0 days 00:00:03.001000,Phone,-0.07939999779,0.02369999738999998,0.06200000317000001,7
0 days 00:00:03.003000,Phone,-0.07979999768999997,0.03419999638999997,0.010600003170000009,7
