timestamp,y_window,person
0 days 00:00:39.497000,-0.168113361515,13
0 days 00:00:39.684000,-0.17230620734500005,13
0 days 00:00:39.909000,-0.172912239545,13
0 days 00:00:40.110000,-0.17121534910500005,13
0 days 00:00:40.283000,-0.17173758437500006,13
0 days 00:00:40.493000,-0.176329962675,13
0 days 00:00:40.705000,-0.18707843217499998,13
0 days 00:00:40.876000,-0.18575563587499996,13
0 days 00:00:41.088000,-0.185721219255,13
0 days 00:00:41.281000,-0.183307564855,13
0 days 00:00:41.491000,-0.18343326046500003,13
0 days 00:00:41.703000,-0.18188002216499996,13
0 days 00:00:41.876000,-0.17719337260499998,13
0 days 00:00:42.087000,-0.18316690605499997,13
0 days 00:00:42.298000,-0.18915091385499994,13
0 days 00:00:42.471000,-0.182723978605,13
0 days 00:00:42.683000,-0.18006192550500003,13
0 days 00:00:42.894000,-0.18371009040500003,13
0 days 00:00:43.068000,-0.18342278620500005,13
0 days 00:00:43.278000,-0.183953999605,13
0 days 00:00:43.491000,-0.18607286810500004,13
0 days 00:00:43.701000,-0.18296339860500002,13
0 days 00:00:43.875000,-0.17954417940500003,13
0 days 00:00:44.086000,-0.17823784310500002,13
0 days 00:00:44.297000,-0.181540345205,13
0 days 00:00:44.470000,-0.17949330270499997,13
0 days 00:00:44.700000,-0.18618958540499997,13
0 days 00:00:44.874000,-0.192909810505,13
0 days 00:00:45.085000,-0.19555989250500003,13
0 days 00:00:45.296000,-0.19394829552499998,13
0 days 00:00:45.468000,-0.19289035776500005,13
0 days 00:00:45.679000,-0.19318963296499997,13
0 days 00:00:45.892000,-0.189076095225,13
0 days 00:00:46.065000,-0.207369292825,13
0 days 00:00:46.301000,-0.18714427432499994,13
0 days 00:00:46.468000,-0.183581402925,13
0 days 00:00:46.679000,-0.18119767572499998,13
0 days 00:00:46.891000,-0.18498949272499998,13
0 days 00:00:47.064000,-0.18374899692500002,13
0 days 00:00:47.275000,-0.184886242725,13
0 days 00:00:47.487000,-0.185900785695,13
0 days 00:00:47.661000,-0.189574388895,13
0 days 00:00:47.870000,-0.18965668959499996,13
0 days 00:00:48.082000,-0.19183840589499992,13
0 days 00:00:48.293000,-0.18896536389499996,13
0 days 00:00:48.466000,-0.18611776019499995,13
0 days 00:00:48.678000,-0.189827276495,13
0 days 00:00:48.889000,-0.192323231795,13
0 days 00:00:49.063000,-0.19291280399500002,13
0 days 00:00:49.274000,-0.196450236995,13
0 days 00:00:49.486000,-0.19233969149500002,13
0 days 00:00:49.658000,-0.19119346749500005,13
0 days 00:00:49.869000,-0.19245191969499997,13
0 days 00:00:50.081000,-0.18415900369499996,13
0 days 00:00:50.292000,-0.18472014459499994,13
0 days 00:00:50.464000,-0.17703774979499998,13
0 days 00:00:50.685000,-0.18723555229499997,13
0 days 00:00:50.869000,-0.188679554995,13
0 days 00:00:51.079000,-0.20281881321500003,13
0 days 00:00:51.290000,-0.204497747115,13
0 days 00:00:51.463000,-0.202097559715,13
0 days 00:00:51.675000,-0.19773412716500002,13
0 days 00:00:51.886000,-0.18191144746500001,13
0 days 00:00:52.058000,-0.167453460905,13
0 days 00:00:52.259000,-0.163307002885,13
0 days 00:00:52.451000,-0.16007034108499998,13
0 days 00:00:52.651000,-0.158116073975,13
0 days 00:00:52.773000,-0.154025893775,13
0 days 00:00:52.775000,-0.142605598975,13
0 days 00:00:52.826000,-0.14212481827499998,13
0 days 00:00:52.827000,-0.13991046267499999,13
0 days 00:00:52.831000,-0.14087578883,13
0 days 00:00:52.856000,-0.14316227462999997,13
0 days 00:00:52.874000,-0.14174221388999997,13
0 days 00:00:52.888000,-0.13678079188999998,13
0 days 00:00:52.916000,-0.13333763069,13
0 days 00:00:52.918000,-0.14002250329,13
0 days 00:00:52.947000,-0.14501399221,13
0 days 00:00:53.010000,-0.14415004520999997,13
0 days 00:00:53.011000,-0.14725848550999998,13
0 days 00:00:53.023000,-0.14924193175999997,13
0 days 00:00:53.030000,-0.14913456675999998,13
0 days 00:00:53.066000,-0.14906722985999998,13
0 days 00:00:53.067000,-0.15043802710999998,13
0 days 00:00:53.070000,-0.14982982048,13
0 days 00:00:53.096000,-0.14931347718,13
0 days 00:00:53.097000,-0.14752607938,13
0 days 00:00:53.126000,-0.13983021778,13
0 days 00:00:53.156000,-0.13344452678,13
0 days 00:00:53.158000,-0.12941733482,13
0 days 00:00:53.219000,-0.11946278682000001,13
0 days 00:00:53.225000,-0.10383655342,13
0 days 00:00:53.226000,-0.1058445029,13
0 days 00:00:53.248000,-0.11575415810000003,13
0 days 00:00:53.258000,-0.11599357839999999,13
0 days 00:00:53.309000,-0.1278725355,13
0 days 00:00:53.310000,-0.12704854670000001,13
0 days 00:00:53.310000,-0.1371781235,13
0 days 00:00:53.314000,-0.1301882941,13
0 days 00:00:53.341000,-0.12059919,13
0 days 00:00:53.398000,-0.11769579976,13
0 days 00:00:53.403000,-0.11196926205999999,13
0 days 00:00:53.404000,-0.10386030706000002,13
0 days 00:00:53.438000,-0.09968291630000001,13
0 days 00:00:53.450000,-0.10205018325,13
0 days 00:00:53.487000,-0.09458022694999998,13
0 days 00:00:53.489000,-0.08654143745,13
0 days 00:00:53.491000,-0.07875958075,13
0 days 00:00:53.506000,-0.0794105043,13
0 days 00:00:53.530000,-0.0884333707,13
0 days 00:00:53.546000,-0.09839715264999999,13
0 days 00:00:53.577000,-0.09984096835,13
0 days 00:00:53.578000,-0.09469324810999998,13
0 days 00:00:53.638000,-0.08867281260999998,13
0 days 00:00:53.641000,-0.09145756800999999,13
0 days 00:00:53.641000,-0.09347949926,13
0 days 00:00:53.649000,-0.09408852436,13
0 days 00:00:53.697000,-0.09395866686,13
0 days 00:00:53.700000,-0.08676507316,13
0 days 00:00:53.701000,-0.08352705596,13
0 days 00:00:53.762000,-0.07497185366,13
0 days 00:00:53.763000,-0.07344311845999998,13
0 days 00:00:53.763000,-0.06964293116,13
0 days 00:00:53.786000,-0.06686049019999998,13
0 days 00:00:53.846000,-0.0710249979,13
0 days 00:00:53.848000,-0.07300895839999998,13
0 days 00:00:53.851000,-0.07734725619999998,13
0 days 00:00:53.879000,-0.08038789249999999,13
0 days 00:00:53.907000,-0.09053965759999999,13
0 days 00:00:53.907000,-0.10514760707999998,13
0 days 00:00:53.909000,-0.10476226683999998,13
0 days 00:00:53.939000,-0.08317517304,13
0 days 00:00:53.939000,-0.07429179677999997,13
0 days 00:00:53.972000,-0.035358618779999997,13
0 days 00:00:54.027000,-0.03571302677999998,13
0 days 00:00:54.032000,-0.015237133380000004,13
0 days 00:00:54.045000,0.004844535019999998,13
0 days 00:00:54.047000,0.010210539720000005,13
0 days 00:00:54.089000,0.012536047920000005,13
0 days 00:00:54.089000,0.02301126392,13
0 days 00:00:54.094000,0.024648720059999997,13
0 days 00:00:54.147000,0.03643740346,13
0 days 00:00:54.151000,0.042181756960000004,13
0 days 00:00:54.155000,0.053582715759999996,13
0 days 00:00:54.175000,0.04793053026,13
0 days 00:00:54.178000,0.01873408416,13
0 days 00:00:54.236000,-0.010038021239999998,13
0 days 00:00:54.239000,-0.017018731939999997,13
0 days 00:00:54.243000,-0.015860536839999998,13
0 days 00:00:54.248000,-0.01561363469,13
0 days 00:00:54.296000,-0.013122940190000008,13
0 days 00:00:54.313000,-0.007579872590000021,13
0 days 00:00:54.314000,-0.0024079063900000223,13
0 days 00:00:54.356000,0.0038495871099999885,13
0 days 00:00:54.358000,0.01143277610999998,13
0 days 00:00:54.360000,0.014804789269999978,13
0 days 00:00:54.418000,0.013034787069999977,13
0 days 00:00:54.419000,0.005495624369999987,13
0 days 00:00:54.421000,-0.01280510041000001,13
0 days 00:00:54.458000,-0.020674144110000004,13
0 days 00:00:54.479000,-0.016653381710000012,13
0 days 00:00:54.490000,-0.01995020211000001,13
0 days 00:00:54.492000,-0.024447910810000015,13
0 days 00:00:54.545000,-0.03866261737000001,13
0 days 00:00:54.545000,-0.05149806279000001,13
0 days 00:00:54.548000,-0.048294017589999995,13
0 days 00:00:54.575000,-0.05150514699,13
0 days 00:00:54.654000,-0.05801646348999998,13
0 days 00:00:54.710000,-0.05891646348999999,13
0 days 00:00:54.716000,-0.06631646348999998,13
0 days 00:00:54.719000,-0.07111646328999999,13
0 days 00:00:54.727000,-0.06641646348999997,13
0 days 00:00:54.727000,-0.05161646448999997,13
0 days 00:00:54.729000,-0.034120579489999976,13
0 days 00:00:54.735000,-0.03492057948999998,13
0 days 00:00:54.754000,-0.03492057948999998,13
0 days 00:00:54.758000,-0.029720579489999982,13
0 days 00:00:54.865000,-0.030554482489999986,13
0 days 00:00:54.982000,-0.029654482489999977,13
0 days 00:00:54.983000,-0.01965448248999998,13
0 days 00:00:54.986000,-0.014754482489999981,13
0 days 00:00:54.994000,-0.015054482489999983,13
0 days 00:00:54.997000,-0.01519025508999997,13
0 days 00:00:55.004000,-0.013190255089999983,13
0 days 00:00:55.009000,-0.014490255049999979,13
0 days 00:00:55.017000,-0.010690255049999986,13
0 days 00:00:55.018000,-0.007090255049999979,13
0 days 00:00:55.026000,-0.013190255049999988,13
0 days 00:00:55.026000,-0.019990255049999982,13
0 days 00:00:55.029000,-0.025390254949999993,13
0 days 00:00:55.031000,-0.02599025495,13
0 days 00:00:55.041000,-0.02459025595,13
0 days 00:00:55.057000,-0.025238373949999997,13
0 days 00:00:55.057000,-0.009638374949999995,13
0 days 00:00:55.083000,-0.017552332949999996,13
0 days 00:00:55.083000,-0.010152332949999994,13
0 days 00:00:55.104000,-0.003952332949999994,13
0 days 00:00:55.135000,0.012747667050000001,13
0 days 00:00:55.138000,0.0006476670500000037,13
0 days 00:00:55.165000,-0.017752332049999996,13
0 days 00:00:55.197000,-0.02745233199,13
0 days 00:00:55.212000,-0.02775233202999999,13
0 days 00:00:55.259000,-0.030852332029999992,13
0 days 00:00:55.259000,-0.02595233252999999,13
0 days 00:00:55.259000,-0.02671768182999999,13
0 days 00:00:55.268000,-0.03251169683,13
0 days 00:00:55.286000,-0.038511696830000004,13
0 days 00:00:55.348000,-0.03801169703,13
0 days 00:00:55.348000,-0.03651169713000001,13
0 days 00:00:55.364000,-0.019411697130000002,13
0 days 00:00:55.407000,-0.01751169813000001,13
0 days 00:00:55.408000,-0.022111698130000006,13
0 days 00:00:55.409000,-0.02741169793000001,13
0 days 00:00:55.469000,-0.02551169792999998,13
0 days 00:00:55.470000,-0.01791169792999998,13
0 days 00:00:55.474000,-0.019011697729999978,13
0 days 00:00:55.480000,-0.016598043079999993,13
0 days 00:00:55.534000,-0.017698042879999973,13
0 days 00:00:55.577000,-0.02029804307999998,13
0 days 00:00:55.578000,-0.019798043079999977,13
0 days 00:00:55.578000,-0.028398043079999987,13
0 days 00:00:55.617000,-0.03119804297999998,13
0 days 00:00:55.617000,-0.03729804297999999,13
0 days 00:00:55.620000,-0.03789804293999998,13
0 days 00:00:55.623000,-0.031498042939999985,13
0 days 00:00:55.647000,-0.02989804313999998,13
0 days 00:00:55.654000,-0.025003093499999983,13
0 days 00:00:55.676000,-0.024064888799999976,13
0 days 00:00:55.680000,-0.012964888799999987,13
0 days 00:00:55.737000,0.003935111200000012,13
0 days 00:00:55.737000,0.00703511120000002,13
0 days 00:00:55.741000,-0.014764888739999987,13
0 days 00:00:55.798000,-0.02526488853999999,13
0 days 00:00:55.799000,-0.039164887539999985,13
0 days 00:00:55.820000,-0.054864887569999986,13
