timestamp,x_window,person
0 days 00:00:19.702000,0.281327667541,14
0 days 00:00:19.914000,0.282373634391,14
0 days 00:00:20.126000,0.283476463591,14
0 days 00:00:20.336000,0.287200943711,14
0 days 00:00:20.509000,0.29022212696099997,14
0 days 00:00:20.721000,0.28931083394400003,14
0 days 00:00:20.934000,0.29580211350400004,14
0 days 00:00:21.105000,0.29087155440400003,14
0 days 00:00:21.316000,0.291351891204,14
0 days 00:00:21.529000,0.27603498530400006,14
0 days 00:00:21.703000,0.274101667604,14
0 days 00:00:21.914000,0.262757640604,14
0 days 00:00:22.124000,0.238311344904,14
0 days 00:00:22.298000,0.21934477865399996,14
0 days 00:00:22.508000,0.21326949185399993,14
0 days 00:00:22.719000,0.18797774365399994,14
0 days 00:00:22.930000,0.17816899845399994,14
0 days 00:00:23.103000,0.17858050175399995,14
0 days 00:00:23.314000,0.16956483598399996,14
0 days 00:00:23.526000,0.16787692398399995,14
0 days 00:00:23.698000,0.13958194968399995,14
0 days 00:00:23.910000,0.13819181628399999,14
0 days 00:00:24.108000,0.18034921858399997,14
0 days 00:00:24.315000,0.18006490708400003,14
0 days 00:00:24.526000,0.175068507484,14
0 days 00:00:24.699000,0.16459986038399996,14
0 days 00:00:24.910000,0.159051298184,14
0 days 00:00:25.114000,0.14661491678399993,14
0 days 00:00:25.316000,0.3268219973839999,14
0 days 00:00:25.493000,0.29402442727399997,14
0 days 00:00:25.698000,0.261590476384,14
0 days 00:00:25.929000,0.25075671388399995,14
0 days 00:00:26.101000,0.24199543198399998,14
0 days 00:00:26.313000,0.23752575678399995,14
0 days 00:00:26.524000,0.22948722458399995,14
0 days 00:00:26.697000,0.25238776408400004,14
0 days 00:00:26.908000,0.23348404458399996,14
0 days 00:00:27.120000,0.183777425584,14
0 days 00:00:27.292000,0.18111088338399997,14
0 days 00:00:27.504000,0.205868425384,14
0 days 00:00:27.715000,0.21734114058399992,14
0 days 00:00:27.890000,0.195586826084,14
0 days 00:00:28.100000,0.17619379128399998,14
0 days 00:00:28.311000,0.163842703484,14
0 days 00:00:28.522000,0.186375133784,14
0 days 00:00:28.695000,0.226112896784,14
0 days 00:00:28.906000,0.265871607984,14
0 days 00:00:29.118000,0.23646033878399997,14
0 days 00:00:29.291000,0.24764425368399995,14
0 days 00:00:29.502000,0.27849803060699996,14
0 days 00:00:29.713000,0.23945907560699994,14
0 days 00:00:29.888000,0.21594053280699996,14
0 days 00:00:30.121000,0.23278823090699993,14
0 days 00:00:30.290000,0.239988792407,14
0 days 00:00:30.502000,0.24872912510700002,14
0 days 00:00:30.684000,0.269022976107,14
0 days 00:00:30.886000,0.25476999460699995,14
0 days 00:00:31.097000,0.23160908560699997,14
0 days 00:00:31.307000,0.19342755520700003,14
0 days 00:00:31.519000,0.174338285207,14
0 days 00:00:31.691000,0.16624139450699998,14
0 days 00:00:31.903000,0.15877747130699998,14
0 days 00:00:32.115000,0.13828310570699995,14
0 days 00:00:32.288000,0.11841721590699997,14
0 days 00:00:32.499000,0.10528501957699996,14
0 days 00:00:32.710000,0.07856722557699998,14
0 days 00:00:32.883000,0.03941753777699999,14
0 days 00:00:33.094000,0.029652187226999985,14
0 days 00:00:33.306000,0.075350016227,14
0 days 00:00:33.517000,0.074732012227,14
0 days 00:00:33.690000,0.06205770712699999,14
0 days 00:00:33.901000,0.052985179226999995,14
0 days 00:00:34.109000,0.04108599692699998,14
0 days 00:00:34.276000,0.030348002027000002,14
0 days 00:00:34.478000,0.017145476926999987,14
0 days 00:00:34.698000,0.012620435927,14
0 days 00:00:34.889000,0.006862381126999984,14
0 days 00:00:35.082000,0.0036601367269999885,14
0 days 00:00:35.293000,-0.013949215773000012,14
0 days 00:00:35.485000,-0.020166658162999975,14
0 days 00:00:35.696000,-0.023327004432999985,14
0 days 00:00:35.889000,-0.025830441633,14
0 days 00:00:36.113000,-0.019443908732999993,14
0 days 00:00:36.285000,-0.0017836784329999895,14
0 days 00:00:36.496000,-0.00944362763299998,14
0 days 00:00:36.707000,-0.009087490132999986,14
0 days 00:00:36.880000,-0.007401074432999981,14
0 days 00:00:37.091000,0.08598326556699998,14
0 days 00:00:37.303000,0.089427923067,14
0 days 00:00:37.476000,0.094904659227,14
0 days 00:00:37.688000,0.09833584952699999,14
0 days 00:00:37.899000,0.100089602187,14
0 days 00:00:38.109000,0.104095400887,14
0 days 00:00:38.282000,0.099283055147,14
