timestamp,window,person,device
0 days 00:00:31.569000,0.0,6,Phone
0 days 00:00:31.685000,-0.16499999,6,Phone
0 days 00:00:31.716000,-0.18666665666666668,6,Phone
0 days 00:00:31.717000,-0.2949999925,6,Phone
0 days 00:00:31.745000,-0.37799999399999995,6,Phone
0 days 00:00:31.774000,-0.3916666583333333,6,Phone
0 days 00:00:31.776000,-0.4042857071428571,6,Phone
0 days 00:00:31.814000,-0.36499999325,6,Phone
0 days 00:00:31.837000,-0.30444443955555556,6,Phone
0 days 00:00:31.850000,-0.2719999956,6,Phone
0 days 00:00:31.873000,-0.2163636323636364,6,Phone
0 days 00:00:31.925000,-0.15499999633333336,6,Phone
0 days 00:00:31.929000,-0.10538461353846157,6,Phone
0 days 00:00:31.931000,-0.07071428400000003,6,Phone
0 days 00:00:31.985000,-0.03199999840000002,6,Phone
0 days 00:00:31.988000,-0.009374999749999991,6,Phone
0 days 00:00:32.001000,0.001764705529411773,6,Phone
0 days 00:00:32.021000,0.003888888555555564,6,Phone
0 days 00:00:32.022000,0.014736841789473692,6,Phone
0 days 00:00:32.048000,0.021999999700000005,6,Phone
0 days 00:00:32.108000,0.019047618761904767,6,Phone
0 days 00:00:32.109000,0.006363636090909097,6,Phone
0 days 00:00:32.111000,0.009130434521739136,6,Phone
0 days 00:00:32.142000,0.005833333083333341,6,Phone
0 days 00:00:32.143000,0.015599999760000007,6,Phone
0 days 00:00:32.210000,0.024999999769230778,6,Phone
0 days 00:00:32.213000,0.018518518666666674,6,Phone
0 days 00:00:32.214000,0.01392857157142858,6,Phone
0 days 00:00:32.238000,0.013793103586206905,6,Phone
0 days 00:00:32.254000,0.013666666800000008,6,Phone
0 days 00:00:32.261000,0.010645161419354846,6,Phone
0 days 00:00:32.283000,0.020937500125000005,6,Phone
0 days 00:00:32.318000,0.006060606181818187,6,Phone
0 days 00:00:32.318000,0.0179411765882353,6,Phone
0 days 00:00:32.376000,0.01885714288571429,6,Phone
0 days 00:00:32.382000,0.030000000027777782,6,Phone
0 days 00:00:32.383000,0.023243243270270275,6,Phone
0 days 00:00:32.435000,0.034210526342105266,6,Phone
0 days 00:00:32.438000,0.021025641051282056,6,Phone
0 days 00:00:32.443000,0.029000000025000007,6,Phone
0 days 00:00:32.465000,0.03219512197560976,6,Phone
0 days 00:00:32.495000,0.03928571383333333,6,Phone
0 days 00:00:32.497000,0.06720930188372093,6,Phone
0 days 00:00:32.525000,0.08727272684090909,6,Phone
0 days 00:00:32.555000,0.1044444429111111,6,Phone
0 days 00:00:32.555000,0.09891304219565215,6,Phone
0 days 00:00:32.586000,0.06553191576595743,6,Phone
0 days 00:00:32.647000,0.020833334187499997,6,Phone
0 days 00:00:32.654000,-0.007142856306122454,6,Phone
0 days 00:00:32.666000,-0.052399999180000004,6,Phone
0 days 00:00:32.666000,-0.08764705605882354,6,Phone
0 days 00:00:32.694000,-0.11461538190384617,6,Phone
0 days 00:00:32.736000,-0.13396226149056606,6,Phone
0 days 00:00:32.738000,-0.13481481201851853,6,Phone
0 days 00:00:32.739000,-0.14781817834545458,6,Phone
0 days 00:00:32.763000,-0.13285713944642857,6,Phone
